Attack Coverage Report

Total attacks in ATTACK_LOG: 856
Overrides entries: 553

Per-attack summary (ATTACK_LOG order):
- Move: Status | Notes
- ------: -------- | -------
- Absorb: done | Heals half the damage dealt and logs the absorption event. | override: Heals half the damage dealt and logs the absorption event. | override_status: done
- Fell Stinger [SM]: done | Raises the user's Attack by +2 CS after it knocks out the target. | override: Raises the user's Attack by +2 CS after it knocks out the target. | override_status: done
- Fiery Dance: done | Raises the user's Special Attack by +1 CS on even-numbered rolls. | override: Raises the user's Special Attack by +1 CS on even-numbered rolls. | override_status: done
- Fiery Wrath: done | Flinches the target on 17+ and may be used as Fire once per scene. | override: Flinches the target on 17+ and may be used as Fire once per scene. | override_status: done
- Final Gambit: done | Self-faints (HP set to 0) and then deals damage equal to the HP lost, ignoring item triggers. | override: Self-faints (HP set to 0) and then deals damage equal to the HP lost, ignoring item triggers. | override_status: done
- Fire Blast: done | Burns the target on rolls of 19+. | override: Burns the target on rolls of 19+. | override_status: done
- Fire Fang: done | Burns or Flinches on rolls of 18-19 (coin flip) and both on 20, logging both status events. | override: Burns or Flinches on rolls of 18-19 (coin flip) and both on 20, logging both status events. | override_status: done
- Fire Lash: done | Lowers the target's Defense by -1 CS when it hits. | override: Lowers the target's Defense by -1 CS when it hits. | override_status: done
- Fire Pledge: done | Tracks pledge combos; Fire+Grass creates fire hazards, Fire+Water creates Rainbow. | override: Tracks pledge combos; Fire+Grass creates fire hazards, Fire+Water creates Rainbow. | override_status: done
- Fire Punch: done | Burns the target on rolls of 19+. | override: Burns the target on rolls of 19+. | override_status: done
- Fire Spin: done | Applies Vortex and Trapped for 3 rounds on hit. | override: Applies Vortex and Trapped for 3 rounds on hit. | override_status: done
- First Impression: done | On the join turn, resolves with Priority and flinches the target. | override: On the join turn, resolves with Priority and flinches the target. | override_status: done
- Fishious Rend: done | Bonus +10 damage versus lower-initiative foes (tracked by fishious_rend_bonus). | override: Bonus +10 damage versus lower-initiative foes (tracked by fishious_rend_bonus). | override_status: done
- Fissure: done | Rolls 1d100 versus 30 + level difference to instantly faint the foe; the log records the roll amount. | override: Rolls 1d100 versus 30 + level difference to instantly faint the foe; the log records the roll amount. | override_status: done
- Flail: done | DB increases by +1 per injury on the user. | override: DB increases by +1 per injury on the user. | override_status: done
- Flame Burst: done | Adjacent allies that are cardinally adjacent to the target lose 5 HP when the hit lands. | override: Adjacent allies that are cardinally adjacent to the target lose 5 HP when the hit lands. | override_status: done
- Flame Charge: done | Raises the user's Speed by +1 Combat Stage after resolving. | override: Raises the user's Speed by +1 Combat Stage after resolving. | override_status: done
- Flame Wheel: done | Burns the target on rolls of 19+. | override: Burns the target on rolls of 19+. | override_status: done
- Flamethrower: done | Burns the target on rolls of 19+. | override: Burns the target on rolls of 19+. | override_status: done
- Flare Blitz: done | Burns the target on rolls of 19+ plus applies the usual recoil handling (logged separately). | override: Burns the target on rolls of 19+ plus applies the usual recoil handling (logged separately). | override_status: done
- Flash: done | Lowers every legal target's Accuracy by -1. | override: Lowers every legal target's Accuracy by -1. | override_status: done
- Flash Cannon: done | Lowers the target's Special Defense by -1 CS on rolls of 17+. | override: Lowers the target's Special Defense by -1 CS on rolls of 17+. | override_status: done
- Flatter: done | Raises the target's Special Attack by +1 CS and confuses them. | override: Raises the target's Special Attack by +1 CS and confuses them. | override_status: done
- Fleur Cannon: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Fling: done | Consumes the held item and logs the thrown item. | override: Consumes the held item and logs the thrown item. | override_status: done
- Flip Turn: done | Switches the user out after dealing damage; ignores Trapped. | override: Switches the user out after dealing damage; ignores Trapped. | override_status: done
- Flirt: done | Infatuates the target (charm check not modeled). | override: Infatuates the target (charm check not modeled). | override_status: done
- Floral Healing: done | Heals 1/2 max HP or 2/3 in Grassy Terrain. | override: Heals 1/2 max HP or 2/3 in Grassy Terrain. | override_status: done
- Flower Shield: done | Raises Defense of Grass-type targets by +2 CS. | override: Raises Defense of Grass-type targets by +2 CS. | override_status: done
- Fly: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Flying Press: done | Chooses Fighting or Flying type damage based on effectiveness. | override: Chooses Fighting or Flying type damage based on effectiveness. | override_status: done
- Flying Press [SM]: done | Chooses Fighting or Flying type damage based on effectiveness. | override: Chooses Fighting or Flying type damage based on effectiveness. | override_status: done
- Focus Blast: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Focus Energy: done | Applies Pumped and extends the critical range by 2 until switching. | override: Applies Pumped and extends the critical range by 2 until switching. | override_status: done
- Focus Punch: done | Set-up move; fails if user takes 25%+ max HP damage before resolving. | override: Set-up move; fails if user takes 25%+ max HP damage before resolving. | override_status: done
- Follow Me: done | Redirects foes to the user until the end of the next turn. | override: Redirects foes to the user until the end of the next turn. | override_status: done
- Force Palm: done | Paralyzes the target on 18+. | override: Paralyzes the target on 18+. | override_status: done
- Foresight: done | For the rest of the turn, Normal/Fighting moves can hit Ghosts. | override: For the rest of the turn, Normal/Fighting moves can hit Ghosts. | override_status: done
- Forest's Curse: done | Adds the Grass type for 5 turns. | override: Adds the Grass type for 5 turns. | override_status: done
- Foul Play: done | Uses the target's Attack stat for damage. | override: Uses the target's Attack stat for damage. | override_status: done
- Freeze Shock: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Freeze-Dry: done | Treats Water as weak to Ice when calculating effectiveness. | override: Treats Water as weak to Ice when calculating effectiveness. | override_status: done
- Freezing Glare: done | Freezes on 19+ and may switch to Ice type once per scene. | override: Freezes on 19+ and may switch to Ice type once per scene. | override_status: done
- Frenzy Plant: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Frost Breath: done | Always crits if it hits. | override: Always crits if it hits. | override_status: done
- Frustration: done | DB becomes 9 minus the user's Loyalty value. | override: DB becomes 9 minus the user's Loyalty value. | override_status: done
- Furious Strikes: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Fury Attack: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Fury Cutter: done | DB scales with consecutive hits and resets on miss/no damage. | override: DB scales with consecutive hits and resets on miss/no damage. | override_status: done
- Fury Swipes: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Fusion Bolt: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Fusion Flare: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Future Sight: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Gastro Acid: done | Suppresses one of the target's abilities for the encounter. | override: Suppresses one of the target's abilities for the encounter. | override_status: done
- Gear Grind: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Gear Up: done | Plus/Minus targets gain +1 Attack and Special Attack. | override: Plus/Minus targets gain +1 Attack and Special Attack. | override_status: done
- Gear Up [SS]: done | Steel-typed targets gain +1 Attack and Special Attack. | override: Steel-typed targets gain +1 Attack and Special Attack. | override_status: done
- Geomancy: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Giga Drain: done | Heals half the damage dealt. | override: Heals half the damage dealt. | override_status: done
- Giga Impact: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Glacial Lance: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Glaciate: done | Lowers Speed by -1 CS and even rolls slow grounded targets. | override: Lowers Speed by -1 CS and even rolls slow grounded targets. | override_status: done
- Glare: done | Paralyzes the target on hit. | override: Paralyzes the target on hit. | override_status: done
- Gouge: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Grapple: done | Uses the grapple contest and applies Grappled/Vulnerable on success. | override: Uses the grapple contest and applies Grappled/Vulnerable on success. | override_status: done
- Grass Knot: done | DB equals twice the target's Weight Class. | override: DB equals twice the target's Weight Class. | override_status: done
- Grass Pledge: done | Tracks pledge combos; fire creates hazards, water slows and -2 Speed. | override: Tracks pledge combos; fire creates hazards, water slows and -2 Speed. | override_status: done
- Grass Whistle: done | Puts the target to Sleep. | override: Puts the target to Sleep. | override_status: done
- Grassy Glide: done | Priority on Grassy Terrain; may create Grassy Terrain after hit. | override: Priority on Grassy Terrain; may create Grassy Terrain after hit. | override_status: done
- Grassy Terrain: done | Creates Grassy Terrain for 5 rounds. | override: Creates Grassy Terrain for 5 rounds. | override_status: done
- Grav Apple: done | Lowers the target's Defense by -1 CS. | override: Lowers the target's Defense by -1 CS. | override_status: done
- Gravity: done | Creates Gravity/Warped terrain for 5 rounds with +2 accuracy. | override: Creates Gravity/Warped terrain for 5 rounds with +2 accuracy. | override_status: done
- Growl: done | Lowers Attack by -1 CS on hit. | override: Lowers Attack by -1 CS on hit. | override_status: done
- Growth: done | Raises Attack and Special Attack; doubled in sun. | override: Raises Attack and Special Attack; doubled in sun. | override_status: done
- Grudge: done | Marks the user to Suppress the attacker after a KO (interrupt style). | override: Marks the user to Suppress the attacker after a KO (interrupt style). | override_status: done
- Guard Split: done | Applies -5 DEF/SPDEF stat modifiers to the target and 5 damage reduction to the user. | override: Applies -5 DEF/SPDEF stat modifiers to the target and 5 damage reduction to the user. | override_status: done
- Guard Swap: done | Swaps Defense and Special Defense combat stages between user and target. | override: Swaps Defense and Special Defense combat stages between user and target. | override_status: done
- Guillotine: done | Rolls a level-based d100 check to faint the target. | override: Rolls a level-based d100 check to faint the target. | override_status: done
- Gunk Shot: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Gust: done | Boosts DB against Fly/Sky Drop targets and logs the airborne hit. | override: Boosts DB against Fly/Sky Drop targets and logs the airborne hit. | override_status: done
- Gyro Ball: done | Adds bonus damage based on Speed difference. | override: Adds bonus damage based on Speed difference. | override_status: done
- Hail: done | Sets Hail weather and logs the weather change. | override: Sets Hail weather and logs the weather change. | override_status: done
- Hammer Arm: done | Lowers the user's Speed by -1 CS on hit. | override: Lowers the user's Speed by -1 CS on hit. | override_status: done
- Harden: done | Raises the user's Defense by +1 CS. | override: Raises the user's Defense by +1 CS. | override_status: done
- Haze: done | Resets combat stages for all combatants. | override: Resets combat stages for all combatants. | override_status: done
- Head Charge: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Head Smash: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Headbutt: done | Flinches on 15+ rolls. | override: Flinches on 15+ rolls. | override_status: done
- Headlong Rush: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Heal Bell: done | Cures persistent status ailments in range. | override: Cures persistent status ailments in range. | override_status: done
- Heal Block: done | Prevents healing until the target switches or takes a breather. | override: Prevents healing until the target switches or takes a breather. | override_status: done
- Heal Order: done | Heals 50% of max HP. | override: Heals 50% of max HP. | override_status: done
- Heal Pulse: done | Heals 50% of max HP on a non-self target. | override: Heals 50% of max HP on a non-self target. | override_status: done
- Healing Wish: done | User faints to restore target HP, injuries, and move frequency. | override: User faints to restore target HP, injuries, and move frequency. | override_status: done
- Heart Stamp: done | Flinches on 15+ rolls. | override: Flinches on 15+ rolls. | override_status: done
- Heart Swap: done | Swaps combat stages between user and target. | override: Swaps combat stages between user and target. | override_status: done
- Heat Crash: done | Damage base scales with weight class difference. | override: Damage base scales with weight class difference. | override_status: done
- Heat Wave: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Heavy Slam: done | Damage base scales with weight class difference. | override: Damage base scales with weight class difference. | override_status: done
- Helping Hand: done | Grants +2 accuracy and +10 damage to the target's next attack this round. | override: Grants +2 accuracy and +10 damage to the target's next attack this round. | override_status: done
- Hex: done | Once per scene, increases DB to 13 versus afflicted targets. | override: Once per scene, increases DB to 13 versus afflicted targets. | override_status: done
- Hidden Power: done | Assigns and persists Hidden Power's elemental type. | override: Assigns and persists Hidden Power's elemental type. | override_status: done
- Hidden Power Bug: done | Typed variant uses base data; no special hook needed. | override: Typed variant uses base data; no special hook needed. | override_status: done
- Hidden Power Dark: done | Typed variant uses base data; no special hook needed. | override: Typed variant uses base data; no special hook needed. | override_status: done
- Hidden Power Dragon: done | Typed variant uses base data; no special hook needed. | override: Typed variant uses base data; no special hook needed. | override_status: done
- Hidden Power Electric: done | Typed variant uses base data; no special hook needed. | override: Typed variant uses base data; no special hook needed. | override_status: done
- Hidden Power Fairy: done | Typed variant uses base data; no special hook needed. | override: Typed variant uses base data; no special hook needed. | override_status: done
- Hidden Power Fighting: done | Typed variant uses base data; no special hook needed. | override: Typed variant uses base data; no special hook needed. | override_status: done
- Hidden Power Fire: done | Typed variant uses base data; no special hook needed. | override: Typed variant uses base data; no special hook needed. | override_status: done
- Hidden Power Flying: done | Typed variant uses base data; no special hook needed. | override: Typed variant uses base data; no special hook needed. | override_status: done
- Hidden Power Ghost: done | Typed variant uses base data; no special hook needed. | override: Typed variant uses base data; no special hook needed. | override_status: done
- Hidden Power Grass: done | Typed variant uses base data; no special hook needed. | override: Typed variant uses base data; no special hook needed. | override_status: done
- Hidden Power Ground: done | Typed variant uses base data; no special hook needed. | override: Typed variant uses base data; no special hook needed. | override_status: done
- Hidden Power Ice: done | Typed variant uses base data; no special hook needed. | override: Typed variant uses base data; no special hook needed. | override_status: done
- Hidden Power Poison: done | Typed variant uses base data; no special hook needed. | override: Typed variant uses base data; no special hook needed. | override_status: done
- Hidden Power Psychic: done | Typed variant uses base data; no special hook needed. | override: Typed variant uses base data; no special hook needed. | override_status: done
- Hidden Power Rock: done | Typed variant uses base data; no special hook needed. | override: Typed variant uses base data; no special hook needed. | override_status: done
- Hidden Power Steel: done | Typed variant uses base data; no special hook needed. | override: Typed variant uses base data; no special hook needed. | override_status: done
- Hidden Power Water: done | Typed variant uses base data; no special hook needed. | override: Typed variant uses base data; no special hook needed. | override_status: done
- High Horsepower: done | Sprint usage grants Smite and logs the sprint follow-up. | override: Sprint usage grants Smite and logs the sprint follow-up. | override_status: done
- High Jump Kick: done | Miss recoil (1/4 max HP) unless blocked by a shield; blocked under Gravity. | override: Miss recoil (1/4 max HP) unless blocked by a shield; blocked under Gravity. | override_status: done
- Hinder: done | Opposed Athletics contest applies Slowed and Hindered for 1 round. | override: Opposed Athletics contest applies Slowed and Hindered for 1 round. | override_status: done
- Hold Hands: done | Applies Cheered to both combatants and grants 3 ticks of temp HP. | override: Applies Cheered to both combatants and grants 3 ticks of temp HP. | override_status: done
- Hone Claws: done | Raises Attack and Accuracy by +1 CS. | override: Raises Attack and Accuracy by +1 CS. | override_status: done
- Horn Attack: done | No special hook beyond baseline resolution. | override: No special hook beyond baseline resolution. | override_status: done
- Horn Drill: done | D100 execute check based on level difference. | override: D100 execute check based on level difference. | override_status: done
- Horn Leech: done | Drains half the damage dealt. | override: Drains half the damage dealt. | override_status: done
- Howl: done | Raises the user's Attack by +1 CS. | override: Raises the user's Attack by +1 CS. | override_status: done
- Howl [SS]: done | Burst 1 allies gain +1 Attack CS. | override: Burst 1 allies gain +1 Attack CS. | override_status: done
- Hurricane: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Hydro Cannon: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Hydro Pump: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Hyper Beam: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Hyper Fang: done | Flinches the target on 19+. | override: Flinches the target on 19+. | override_status: done
- Hyper Voice: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Hyperspace Fury: done | Bypasses interrupts and lowers the user's Defense by -1 CS. | override: Bypasses interrupts and lowers the user's Defense by -1 CS. | override_status: done
- Hyperspace Hole: done | Bypasses interrupts and teleports between hits when possible. | override: Bypasses interrupts and teleports between hits when possible. | override_status: done
- Hypnosis: done | Puts the target to Sleep. | override: Puts the target to Sleep. | override_status: done
- Ice Ball: done | Consecutive uses scale DB by +3 up to DB 15 and reset on miss. | override: Consecutive uses scale DB by +3 up to DB 15 and reset on miss. | override_status: done
- Ice Beam: done | Freezes the target on 19+. | override: Freezes the target on 19+. | override_status: done
- Ice Burn: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Ice Fang: done | 18-19 inflicts Freeze or Flinch; 20 inflicts both. | override: 18-19 inflicts Freeze or Flinch; 20 inflicts both. | override_status: done
- Ice Hammer: done | Lowers the user's Speed by -1 CS. | override: Lowers the user's Speed by -1 CS. | override_status: done
- Ice Punch: done | Freezes the target on 19+. | override: Freezes the target on 19+. | override_status: done
- Ice Shard: done | Logs the priority strike. | override: Logs the priority strike. | override_status: done
- Icicle Crash: done | Flinches on 15+. | override: Flinches on 15+. | override_status: done
- Icicle Spear: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Icy Wind: done | Lowers Speed by -1 CS on hit targets. | override: Lowers Speed by -1 CS on hit targets. | override_status: done
- Imprison: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Incinerate: done | Drops a held item on hit and logs when none are found. | override: Drops a held item on hit and logs when none are found. | override_status: done
- Infernal Parade: done | Burns on 17+ and gains DB 12 once per scene vs afflicted targets. | override: Burns on 17+ and gains DB 12 once per scene vs afflicted targets. | override_status: done
- Inferno: done | Burns the target and can ignore evasion in open terrain. | override: Burns the target and can ignore evasion in open terrain. | override_status: done
- Infestation: done | Applies Vortex and Trapped for 3 rounds. | override: Applies Vortex and Trapped for 3 rounds. | override_status: done
- Ingrain: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Instruct: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Intercept Melee: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Intercept Ranged: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Ion Deluge: done | Creates a short-lived ion zone that electrifies Normal moves. | override: Creates a short-lived ion zone that electrifies Normal moves. | override_status: done
- Iron Defense: done | Raises Defense by +2 CS. | override: Raises Defense by +2 CS. | override_status: done
- Iron Head: done | Flinches on 15+. | override: Flinches on 15+. | override_status: done
- Iron Tail: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Jaw Lock: done | Triggers a free Grapple contest on hit. | override: Triggers a free Grapple contest on hit. | override_status: done
- Judgement: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Jump Kick: done | Miss recoil (1/4 max HP) unless blocked by shields; unusable under Gravity. | override: Miss recoil (1/4 max HP) unless blocked by shields; unusable under Gravity. | override_status: done
- Jungle Healing: done | Heals allies in burst for 1/4 max HP and cures persistent/volatile statuses. | override: Heals allies in burst for 1/4 max HP and cures persistent/volatile statuses. | override_status: done
- Karate Chop: done | Critical hit threshold lowered to 17+. | override: Critical hit threshold lowered to 17+. | override_status: done
- Kinesis: done | Applies a one-use interrupt that imposes a -4 accuracy penalty. | override: Applies a one-use interrupt that imposes a -4 accuracy penalty. | override_status: done
- King's Shield: done | Sets up a blocking interrupt that lowers Attack by -2 CS on melee hits. | override: Sets up a blocking interrupt that lowers Attack by -2 CS on melee hits. | override_status: done
- Knock Off: done | Removes a held item from the target. | override: Removes a held item from the target. | override_status: done
- Land's Wrath: done | Logs Groundshaper grant (no extra mechanics yet). | override: Logs Groundshaper grant (no extra mechanics yet). | override_status: done
- Laser Focus: done | Grants a guaranteed critical hit on the next damaging attack. | override: Grants a guaranteed critical hit on the next damaging attack. | override_status: done
- Lash Out: done | Boosts to DB 15 after losing CS, once per target per scene. | override: Boosts to DB 15 after losing CS, once per target per scene. | override_status: done
- Last Resort: done | Requires five other distinct moves since the last switch. | override: Requires five other distinct moves since the last switch. | override_status: done
- Lava Plume: done | Burns targets on 16+. | override: Burns targets on 16+. | override_status: done
- Leaf Blade: done | Critical hit threshold lowered to 18+. | override: Critical hit threshold lowered to 18+. | override_status: done
- Leaf Storm: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Leaf Tornado: done | Center small/medium targets are missed; 15+ lowers Accuracy by -1 CS. | override: Center small/medium targets are missed; 15+ lowers Accuracy by -1 CS. | override_status: done
- Leafage: done | No special hook beyond baseline resolution. | override: No special hook beyond baseline resolution. | override_status: done
- Leech Life: done | Heals half the damage dealt. | override: Heals half the damage dealt. | override_status: done
- Leech Life [SM]: done | Heals half the damage dealt. | override: Heals half the damage dealt. | override_status: done
- Leech Seed: done | Applies Leech Seed ticks for 1/10 max HP and heals the source. | override: Applies Leech Seed ticks for 1/10 max HP and heals the source. | override_status: done
- Leer: done | Lowers Defense by -1 CS on hit. | override: Lowers Defense by -1 CS on hit. | override_status: done
- Lick: done | Paralyzes on 15+. | override: Paralyzes on 15+. | override_status: done
- Life Dew: done | Heals allies in burst for 1/4 max HP. | override: Heals allies in burst for 1/4 max HP. | override_status: done
- Light of Ruin: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Light Screen: done | Applies a Light Screen blessing with two charges. | override: Applies a Light Screen blessing with two charges. | override_status: done
- Liquidation: done | Lowers Defense by -1 CS on 17+. | override: Lowers Defense by -1 CS on 17+. | override_status: done
- Lock-On: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Lovely Kiss: done | Puts the target to sleep. | override: Puts the target to sleep. | override_status: done
- Low Blow: done | Opposed Acrobatics; on success inflicts Vulnerable and Bashed. | override: Opposed Acrobatics; on success inflicts Vulnerable and Bashed. | override_status: done
- Low Kick: done | DB equals twice the target's Weight Class. | override: DB equals twice the target's Weight Class. | override_status: done
- Low Sweep: done | Lowers Speed by -1 CS on hit. | override: Lowers Speed by -1 CS on hit. | override_status: done
- Lucky Chant: done | Applies a three-charge blessing that negates critical hits. | override: Applies a three-charge blessing that negates critical hits. | override_status: done
- Lunar Blessing: done | Heals 50% max HP, clears statuses, and grants an evasion bonus. | override: Heals 50% max HP, clears statuses, and grants an evasion bonus. | override_status: done
- Lunar Dance: done | User faints to restore target HP, heal injuries, and refresh move frequency. | override: User faints to restore target HP, heal injuries, and refresh move frequency. | override_status: done
- Lunge: done | After sprint, applies -5 damage penalty to the target's next attack. | override: After sprint, applies -5 damage penalty to the target's next attack. | override_status: done
- Luster Purge: done | Even-numbered rolls lower Special Defense by -1 CS. | override: Even-numbered rolls lower Special Defense by -1 CS. | override_status: done
- Mach Punch: done | Logs the priority strike. | override: Logs the priority strike. | override_status: done
- Magic Burst: done | Prevents attacks of opportunity for 1 round on hit foes. | override: Prevents attacks of opportunity for 1 round on hit foes. | override_status: done
- Magic Coat: done | Readies a status-reflecting interrupt that blocks non-damaging status moves. | override: Readies a status-reflecting interrupt that blocks non-damaging status moves. | override_status: done
- Magic Powder: done | Adds the Psychic type for 5 turns. | override: Adds the Psychic type for 5 turns. | override_status: done
- Magic Room: done | Starts Magic Room for 5 rounds (static item suppression not modeled). | override: Suppresses static item effects while active. | override_status: done
- Magical Leaf: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Magma Storm: done | Applies Vortex and Trapped even on a miss. | override: Applies Vortex and Trapped even on a miss. | override_status: done
- Magnet Bomb: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Magnet Rise: done | Grants levitation for 5 turns. | override: Grants levitation for 5 turns. | override_status: done
- Magnetic Flux: done | Raises Defense and Special Defense for Plus/Minus targets. | override: Raises Defense and Special Defense for Plus/Minus targets. | override_status: done
- Magnetic Flux [SM]: done | Raises Defense and Special Defense for Plus/Minus targets. | override: Raises Defense and Special Defense for Plus/Minus targets. | override_status: done
- Magnetic Flux [SS]: done | Adjusts Defense and Special Defense for Electric/Magnetic targets. | override: Adjusts Defense and Special Defense for Electric/Magnetic targets. | override_status: done
- Magnitude: done | Rolls a d6 to set the damage base and logs the roll. | override: Rolls a d6 to set the damage base and logs the roll. | override_status: done
- Maneuver: done | Handled via trainer maneuver system. | override: Handled via trainer maneuver system. | override_status: done
- Manipulate: done | Triggers trainer social maneuvers based on the user's best social skill. | override: Triggers trainer social maneuvers based on the users best social skill. | override_status: done
- Mat Block: done | Round 1 shield that blocks an incoming attack for adjacent allies. | override: Round 1 shield that blocks an incoming attack for adjacent allies. | override_status: done
- Maul: done | Flinches the target. | override: Flinches the target. | override_status: done
- Me First: done | Copies a faster foe's declared damaging attack as an interrupt. | override: Copies a faster foes declared damaging attack as an interrupt. | override_status: done
- Mean Look: done | Applies Trapped and Slowed for the encounter. | override: Applies Trapped and Slowed for the encounter. | override_status: done
- Meditate: done | Raises the user's Attack by +1 CS. | override: Raises the user's Attack by +1 CS. | override_status: done
- Mega Drain: done | Heals half the damage dealt. | override: Heals half the damage dealt. | override_status: done
- Mega Kick: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Mega Punch: done | No special hook beyond baseline resolution. | override: No special hook beyond baseline resolution. | override_status: done
- Megahorn: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Memento: done | Lowers all combat stages by -2 CS on the target. | override: Lowers all combat stages by -2 CS on the target. | override_status: done
- Metal Burst: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Metal Claw: done | Raises Attack by +1 CS on 18+. | override: Raises Attack by +1 CS on 18+. | override_status: done
- Metal Sound: done | Lowers Special Defense by -2 CS on hit targets. | override: Lowers Special Defense by -2 CS on hit targets. | override_status: done
- Meteor Assault: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Meteor Beam: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Meteor Mash: done | Raises Attack by +1 CS on 15+. | override: Raises Attack by +1 CS on 15+. | override_status: done
- Metronome: done | Selects a random legal move to execute. | override: Selects a random legal move to execute. | override_status: done
- MH Adept: done | Monster Hunter perk entry tracked externally. | override: Monster Hunter perk entry tracked externally. | override_status: done
- MH Expert: done | Monster Hunter perk entry tracked externally. | override: Monster Hunter perk entry tracked externally. | override_status: done
- Milk Drink: done | Restores 50% max HP to the target. | override: Restores 50% max HP to the target. | override_status: done
- Mimic: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Mind Blown: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Mind Reader: done | Marks a target for auto-hit or auto-miss through the next turn. | override: Marks a target for auto-hit or auto-miss through the next turn. | override_status: done
- Minimize: done | Grants evasion and shrinks the user. | override: Grants evasion and shrinks the user. | override_status: done
- Miracle Eye: done | Psychic moves can hit Dark targets for the rest of the turn. | override: Psychic moves can hit Dark targets for the rest of the turn. | override_status: done
- Mirror Coat: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Mirror Move: done | Implemented via explicit hook or generic handling. | override: Implemented via explicit hook or generic handling. | override_status: done
- Mirror Shot: done | Lowers Accuracy by -2 on 16+. | override: Lowers Accuracy by -2 on 16+. | override_status: done
